"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLik"
2000,3.26747288609326,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.003464466506609,0.000421601108751,15.2502763753461,1660,0.854005836366303,0.973858204235109,0.968509402267245,1.95E-05,0.4,4,0.996178875919396,17.0922737141078,0.333333333333333,7078.33925955253,180.869023100498,2.36179148533444,283.095907913518,14.5470196947757,150.613416545232,1.62063724962806,11.125391019522,484.763528155763,201587.817634164,13839.9344140872,0.000236750976761,0.998603193810922,-1294.60279865592
2000,3.27504069757582,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.003464466506609,0.000430075291037,16.5758611099268,1660,0.847640006701778,0.973402540466571,0.960354935170013,1.86E-05,0.4,4,0.996178875919396,17.1272456825749,0.333333333333333,7611.77279265573,186.905221443567,2.33618602672671,280.772386311962,15.3928197446985,160.360145916857,1.63132139631652,11.9365782863632,547.938565784072,220635.567032046,12652.6676799272,0.000186094951199,0.998560093191174,-1294.60295505588
2000,3.36935156819119,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.003464466506609,0.000443107002431,16.9320460144647,1660,0.846495846666295,0.972717589908111,0.937995192608439,1.85E-05,0.4,4,0.996178875919396,17.133887217851,0.333333333333333,6745.97278735196,156.096363465729,2.29738465617894,280.259356442172,13.3366795254295,168.097820444939,1.53570225812067,9.50728356833259,670.416356671644,186693.736434789,14118.3367632308,0.000211887399112,0.998873412134822,-1294.60329714828
2000,3.48428527088198,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004848849876489,0.000351003713777,11.9030695173339,1660,0.798983915289413,0.960176012312041,0.970872510639958,2.14E-05,0.4,4,0.967563063131669,17.1587255159741,0.333333333333333,6844.69046308801,175.643367927054,1.80042603791054,366.636228499157,15.50980619669,28.4588163842397,2.70805477378077,7.57214528712426,462.230860259322,198186.622901698,31759.6983431247,4.58E-05,0.999052608037413,-1294.60339977439
2000,3.63189663091828,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.9030695173339,1660,0.85112370728966,0.95599182786547,0.900469162284319,1.79E-05,0.4,4,0.990518509892414,17.1679184112348,0.333333333333333,6411.29210860731,269.201369772284,1.66291872864502,342.553137266429,17.4891666003553,70.2099621017971,1.16092076324623,19.4003473767003,1101.17139334895,251223.638510095,12676.5583866425,9.13E-05,0.99833712448909,-1294.6036041739
2000,3.73391809093861,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.7555143735979,1660,0.861357920476726,0.968413462836754,0.890043780390481,1.84E-05,0.4,4,0.990518509892414,17.1678735272051,0.333333333333333,5413.73673351605,167.819716398171,1.5891597186021,322.761493215072,18.1249815319291,123.893265867828,3.46802483011487,8.3737349714964,956.720303118259,156814.819722035,16547.6297506918,7.64E-05,0.99822426306236,-1294.60392579533
2000,3.74917728657086,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.3509667306912,1660,0.861492212951847,0.970350583564174,0.892356202451232,1.86E-05,0.4,4,0.990518509892414,17.171099903758,0.333333333333333,5792.39234783823,178.395612717041,1.73064295697091,318.105994357072,18.2972104819468,117.241193168786,3.4968837228977,8.04696939551656,941.476041865969,155018.248723745,14448.4128520262,7.75E-05,0.99812760810381,-1294.60418608249
2000,3.8457996787134,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.9830695173339,1660,0.912164890112599,0.95442960066946,0.849399347607806,1.8E-05,0.4,4,0.990518509892414,17.2302179580076,0.333333333333333,7362.78470106092,236.320438263593,2.13186423865402,297.887649814871,23.706930817051,160.467210547163,5.66281010327942,5.50747522449695,913.271745002131,186656.591693141,16199.1858590312,6.52E-05,0.998052128899714,-1294.60422281387
2000,4.01463881548888,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.9830695173339,1660,0.941286539013725,0.920729057484804,0.840082023674886,1.72E-05,0.4,4,0.990518509892414,17.1516767617457,0.333333333333333,6926.39888538411,366.317205740503,1.94902029640013,335.572647988581,27.8867977952248,102.339506612931,5.62716426858263,9.83367628982506,575.870317084918,123338.058835045,20255.6836771445,9.75E-05,0.997988926056066,-1294.60455047579
2000,4.12151651018403,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.9830695173339,1660,0.961951317531345,0.980673079936843,0.772830251339942,1.75E-05,0.4,4,0.990518509892414,17.1568577601412,0.333333333333333,7512.89910764247,329.17104063546,1.85581162754361,337.603811343597,19.6733259901888,79.8334132946973,5.41237622282225,15.3425409287647,766.553931756095,205598.101269873,16256.1034297807,9.14E-05,0.996850441092501,-1294.60470295423
