"time","pop","birthrate"
1957.16666666667,3245708.41766027,51056.5743156009
1957.25,3243749.06600413,51031.6925184539
1957.33333333333,3241796.36136331,51012.5327478071
1957.41666666667,3239852.5340486,50999.2501840386
1957.5,3237919.81437083,50992.0000075265
1957.58333333333,3236000.4326408,50990.5398235455
1957.66666666667,3234096.61916931,50993.0369369585
1957.75,3232210.60426718,50997.2610775248
1957.83333333333,3230344.61824522,51000.9819750042
1957.91666666667,3228500.89141423,51001.9693591561
1958,3226681.65408502,50997.9929597401
1958.08333333333,3224888.98271714,50986.8225065157
1958.16666666667,3223124.33836507,50966.2277292426
1958.25,3221389.02823203,50933.9783576802
1958.33333333333,3219684.35952125,50887.8441215882
1958.41666666667,3218011.63943594,50825.594750726
1958.5,3216372.17517933,50744.9999748534
1958.58333333333,3214767.27395465,50645.155274502
1958.66666666667,3213198.24296509,50530.4591332914
1958.75,3211666.38941391,50406.6357856147
1958.83333333333,3210173.0205043,50279.4094658636
1958.91666666667,3208719.4434395,50154.5044084301
1959,3207306.96542273,50037.6448477071
1959.08333333333,3205936.59113513,49934.5550180864
1959.16666666667,3204608.11516954,49850.95915396
1959.25,3203321.02959673,49792.5814897206
1959.33333333333,3202074.82648747,49765.1462597601
1959.41666666667,3200868.99791252,49774.3776984709
1959.5,3199703.03594266,49826.0000402451
1959.58333333333,3198576.43264864,49923.6168134932
1959.66666666667,3197488.68010123,50062.3487226992
1959.75,3196439.27037121,50235.1957663643
1959.83333333333,3195427.69552934,50435.1579429906
1959.91666666667,3194453.44764638,50655.2352510809
1960,3193516.01879311,50888.4276891358
1960.08333333333,3192614.98999154,51127.7352556577
1960.16666666667,3191750.29806872,51366.1579491492
1960.25,3190921.96880296,51596.695768111
1960.33333333333,3190130.02797258,51812.3487110456
1960.41666666667,3189374.50135586,52006.1167764554
1960.5,3188655.41473113,52170.9999628413
1960.58333333333,3187972.79387668,52301.9568467924
1960.66666666667,3187326.66457082,52401.7803172437
1960.75,3186717.05259187,52475.2218412162
1960.83333333333,3186143.98371812,52527.0328857318
1960.91666666667,3185607.48372788,52561.964917812
1961,3185107.57839945,52584.769404478
1961.08333333333,3184643.82387692,52600.1978127515
1961.16666666667,3184213.89776736,52613.001609654
1961.25,3183815.00804365,52627.9322622069
1961.33333333333,3183444.36267865,52649.7412374318
1961.41666666667,3183099.16964521,52683.1800023502
1961.5,3182776.63691619,52733.0000239834
1961.58333333333,3182473.97246446,52802.6876580571
1961.66666666667,3182188.38426288,52890.6688151132
1961.75,3181917.0802843,52994.1042943967
1961.83333333333,3181657.26850159,53110.1548951537
1961.91666666667,3181406.1568876,53235.98141663
1962,3181160.9534152,53368.7446580708
1962.08333333333,3180919.28823883,53505.6054187219
1962.16666666667,3180680.48023927,53643.7244978295
1962.25,3180444.2704789,53780.2626946384
1962.33333333333,3180210.40002006,53912.3808083948
1962.41666666667,3179978.60992514,54037.2396383444
1962.5,3179748.64125649,54151.9999837325
1962.58333333333,3179520.23507649,54254.6808768794
1962.66666666667,3179293.13244749,54346.734282404
1962.75,3179067.07443187,54430.4703979988
1962.83333333333,3178841.80209199,54508.199421357
1962.91666666667,3178617.05649022,54582.2315501719
1963,3178392.57868892,54654.8769821362
